order_id,date_of_order,price,quantity_ordered,menu_id,customer_id
109,2020-06-10 10:14:25.445866,23200,18,97,362
110,2021-02-07 03:50:49.398069,21230,1,36,631
111,2020-06-24 07:28:29.514134,8390,8,63,913
112,2022-09-30 08:32:28.715308,27380,17,33,339
113,2021-06-03 02:12:22.711803,9640,20,72,253
114,2021-05-29 22:05:15.946562,3410,2,53,818
115,2020-10-03 05:16:22.568084,27440,3,21,990
116,2022-11-15 12:44:37.498171,7580,6,57,1024
117,2020-07-29 11:39:29.508821,29990,20,64,1997
118,2021-04-17 04:03:50.065243,16120,2,71,1379
119,2020-01-22 03:39:21.147672,26610,17,69,1815
120,2023-04-09 20:21:08.995643,22750,14,65,960
121,2022-02-01 10:07:34.267186,25680,13,51,1092
122,2020-05-01 16:36:23.000170,24910,12,75,1256
123,2023-03-10 02:04:26.126114,4040,4,48,910
124,2023-05-21 00:41:52.942384,25660,2,23,390
125,2020-01-01 05:00:56.461597,27590,18,7,1307
126,2021-08-28 04:20:48.032511,23860,20,41,1874
127,2022-02-26 18:05:37.579963,4170,7,31,970
128,2020-08-20 12:02:34.718650,7930,1,18,427
129,2020-07-09 19:20:49.880532,28670,2,99,1541
130,2021-05-23 00:07:51.911286,19140,9,66,764
131,2021-10-28 17:49:28.905887,3150,7,4,402
132,2022-11-25 01:06:24.170085,20060,16,22,1214
133,2021-06-01 18:30:40.172782,7200,4,8,541
134,2021-03-11 14:39:01.423861,20650,7,99,298
135,2022-04-29 22:47:48.160963,19380,2,41,932
136,2023-07-23 11:19:45.302236,5430,7,84,512
137,2020-08-07 06:00:05.286235,1130,11,68,492
138,2023-01-17 12:40:47.061751,21600,3,46,839
139,2020-05-12 05:40:25.535096,11500,10,8,1154
140,2020-01-16 22:15:38.313551,18980,3,76,531
141,2023-10-20 18:42:01.275117,19160,18,86,344
142,2023-12-27 18:23:12.865637,20510,8,74,951
143,2021-01-25 14:20:55.428108,21270,7,14,1830
144,2021-05-22 12:18:16.186521,29970,5,32,1265
145,2021-10-02 21:53:37.381492,17910,18,98,862
146,2023-12-21 03:14:42.440899,10010,12,53,1692
147,2021-06-30 04:41:45.218858,24690,7,91,799
148,2023-02-11 16:06:12.971539,7720,7,59,1760
149,2021-04-24 11:20:35.432313,20840,2,67,1792
150,2022-11-08 18:57:13.558327,20000,17,28,1523
151,2022-02-16 21:35:53.056392,28130,17,38,1923
152,2023-08-08 12:06:03.685958,20900,19,42,198
153,2020-05-18 19:51:39.197451,970,13,42,625
154,2020-06-16 12:35:51.906632,23310,20,70,1972
155,2021-09-05 01:20:12.648033,680,13,42,1500
156,2020-06-20 19:23:16.468562,18740,13,98,1349
157,2021-01-23 08:21:25.667233,8840,1,62,1445
158,2022-11-16 21:26:14.511643,26280,13,32,902
159,2023-10-18 17:38:23.586680,12840,3,26,1205
160,2021-01-18 12:33:48.991147,9530,8,22,1584
161,2023-08-15 09:04:23.092819,28200,3,39,1437
162,2020-01-07 22:49:22.713544,10760,4,12,861
163,2021-04-26 11:46:56.241497,3100,15,62,897
164,2021-05-21 17:10:15.301009,20930,19,97,806
165,2021-12-19 18:53:57.014915,350,3,79,141
166,2023-06-01 07:48:36.787557,26680,20,18,1056
167,2022-02-02 03:20:44.022733,15780,15,74,1318
168,2021-11-13 02:49:05.679434,28640,19,25,1422
169,2020-12-10 18:07:30.634887,24930,19,19,853
170,2022-03-09 13:06:47.899993,24960,4,94,286
171,2022-06-05 10:35:37.232985,5650,3,38,550
172,2022-12-13 13:12:52.228904,13200,5,24,866
173,2021-04-17 04:36:47.543841,15670,16,19,797
174,2022-02-05 06:57:44.640891,18580,3,91,1012
175,2021-12-20 05:13:45.708349,3790,4,45,840
176,2020-06-02 08:30:38.735549,6110,11,97,1108
177,2023-03-10 19:40:59.896657,17240,8,31,975
178,2022-08-13 14:02:06.082386,1240,8,25,620
179,2020-01-19 18:58:09.237919,6830,5,24,62
180,2021-01-10 00:09:39.852029,15340,15,44,1803
181,2023-08-03 06:38:51.367476,7080,1,78,170
182,2020-01-26 19:25:24.002367,2210,20,86,244
183,2021-03-21 17:46:26.729517,6110,8,73,1603
184,2020-07-30 03:23:03.586190,18780,9,83,892
185,2021-07-13 07:15:22.791583,21640,12,1,680
186,2021-11-30 14:23:42.060637,27750,1,52,464
187,2021-05-29 05:20:31.886325,23340,6,17,512
188,2020-08-07 04:58:31.538481,18080,13,99,203
189,2020-12-21 02:41:45.800095,10160,20,19,660
190,2020-07-17 19:03:26.835874,11390,10,78,180
191,2020-04-27 18:47:26.673530,14020,4,41,879
192,2023-08-28 07:25:15.218628,25920,13,1,705
193,2022-09-13 13:23:46.114370,23830,16,25,1988
194,2023-03-10 20:02:58.088021,570,6,26,1593
195,2021-07-12 21:01:46.224785,21640,8,100,1195
196,2020-07-13 11:26:00.301305,27130,5,77,1683
197,2023-11-20 00:54:46.046110,23110,4,33,472
198,2021-02-05 09:33:39.090389,23150,11,76,1848
199,2021-07-17 06:14:54.387904,26730,11,11,603
200,2021-06-20 13:02:50.677851,9430,10,56,1536
